target,trait,model,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
skin_break_drop_g_mean,PFD,plumspectra_fixed_gate_sensitivity,4853,158.33747556797877,121.42271064908468,-1.3915100269243751e-14,0.03850323745214279,0.19626679177890555,0.07271980681805829,1.0199311042812071,1.2443843359749813,1.7429014478648737e-14,161.49331630514723
skin_break_force_g_mean,SRF,global_pls,4853,189.24757970219403,147.30066576213136,-5.247445219378115e-15,-0.27289922973065694,0.15062419817374567,0.14112664834637464,0.8864367192400798,1.1040921941241488,-1.1291377659554692e-14,167.7560036753384
skin_break_force_g_mean,SRF,cultivar_aware_pls,4853,172.6583708444986,133.75490631658963,-4.216697051285985e-15,-0.05951871689055577,0.14853295536546762,0.10851826646967605,0.9716065479757399,1.2101746036643888,-1.1291377659554692e-14,167.7560036753384
skin_break_force_g_mean,SRF,nested_rbf_svr,4853,166.2214110021483,128.3371427813315,1.3587134943032618e-14,0.01800950334948126,0.14025687427222472,0.04917013481539662,1.0092322202292596,1.2570388751144679,-1.1291377659554692e-14,167.7560036753384
skin_break_force_g_mean,SRF,residual_cnn,4853,162.8957141536461,126.03409265259363,3.748175156698653e-14,0.05691101658911246,0.25294034747327054,0.1530987767919243,1.0298368164377116,1.2827027192931415,-1.1291377659554692e-14,167.7560036753384
skin_break_force_g_mean,SRF,no_neural_b50,4853,167.81912318532943,129.60067092165568,8.245985344737037e-15,-0.0009589129310638711,0.14910442154760392,0.08239303283662736,0.9996238836862392,1.245071309753727,-1.1291377659554692e-14,167.7560036753384
skin_break_force_g_mean,SRF,cultivar_mean_null,4853,168.11516047636266,130.67445804954,-7.847741734337806e-15,-0.0044934627309334285,-0.08936554381980784,-0.003992086603422729,0.9978636263380021,1.2428788392077137,-1.1291377659554692e-14,167.7560036753384
skin_break_force_g_mean,SRF,plumspectra_corrected,4853,163.2418127475901,125.93980153202942,1.1431934227930892e-14,0.05289926563788838,0.23021843070435374,0.10459551172917565,1.0276533986713827,1.2799831856140962,-1.1291377659554692e-14,167.7560036753384
skin_break_force_g_mean,SRF,plumspectra_fixed_gate_sensitivity,4853,163.68370185534656,126.22850982575129,8.058576586902105e-15,0.04776479743855333,0.21978893856373632,0.10089040590386995,1.0248790916495198,1.2765276758631368,-1.1291377659554692e-14,167.7560036753384
soluble_solids_pct,SSC,global_pls,4843,1.6220243634028957,1.2278112702828454,3.0553484353095366e-16,0.33951075318963997,0.5977469753403241,0.5695874487184013,1.2305859895676714,1.421135962456037,-1.7165703093935933e-16,1.9960404563410246
soluble_solids_pct,SSC,cultivar_aware_pls,4843,1.632326039249081,1.2362400404915639,2.6555489401729946e-16,0.33109441462140266,0.5875983596339813,0.553878160289155,1.222819711470916,1.412167115751053,-1.7165703093935933e-16,1.9960404563410246
soluble_solids_pct,SSC,nested_rbf_svr,4843,1.6220363960123299,1.2217039107477268,3.56518448874054e-16,0.3395009537824304,0.5862592640683985,0.5361264859300999,1.2305768608202377,1.4211254201685573,-1.7165703093935933e-16,1.9960404563410246
soluble_solids_pct,SSC,residual_cnn,4843,1.584771081592916,1.1925062056298494,2.7325745309791174e-16,0.36950146688072083,0.6122682159519004,0.5710851084607328,1.2595134272230193,1.4545426664996628,-1.7165703093935933e-16,1.9960404563410246
soluble_solids_pct,SSC,no_neural_b50,4843,1.593225463576653,1.1973405577511667,3.1323740261156595e-16,0.36275639950877114,0.6047255026710694,0.5556706111458792,1.2528298737205008,1.4468241987778219,-1.7165703093935933e-16,1.9960404563410246
soluble_solids_pct,SSC,cultivar_mean_null,4843,2.0007912096114433,1.5012349255032433,5.230404404263384e-16,-0.004973352657715813,-0.09414202529519686,-0.004419378668004255,0.9976255627035959,1.1521028000014915,-1.7165703093935933e-16,1.9960404563410246
soluble_solids_pct,SSC,plumspectra_corrected,4843,1.5741389400974382,1.1796118002355522,2.2740888714188628e-17,0.37793304772251124,0.6157586607692642,0.5630016323300219,1.2680205066380423,1.4643670238340138,-1.7165703093935933e-16,1.9960404563410246
soluble_solids_pct,SSC,plumspectra_fixed_gate_sensitivity,4843,1.5741389400974382,1.1796118002355522,2.2740888714188628e-17,0.37793304772251124,0.6157586607692642,0.5630016323300219,1.2680205066380423,1.4643670238340138,-1.7165703093935933e-16,1.9960404563410246
