model,trait,shots,adapter,aggregation,repeats,n_evaluation_mean,rmse_mean,rmse_sd,rmse_ci025,rmse_ci975,r2_mean,r2_sd,r2_ci025,r2_ci975,ccc_mean,ccc_ci025,ccc_ci975,rmse_gain_pct_mean,rmse_gain_pct_ci025,rmse_gain_pct_ci975
Cultivar-aware PLSR,SRF,10,shrunken_affine,pooled,500,1206.0,188.34969096227476,7.070287281177958,178.30490664181224,205.422888592162,0.14640324330893778,0.06670265263248638,-0.01927915896617531,0.23494909900966013,0.3956881706470491,0.2494464178904888,0.4777668014844272,17.311755899414596,9.775156950049714,21.617676346312972
Cultivar-aware PLSR,SRF,20,intercept,batch_macro,500,1156.0,185.243975412726,2.8644752198154912,180.73966179434393,191.91033405524317,-0.23097788376394973,0.04001810314865624,-0.3363846813499847,-0.17670864419269824,-0.004481847191423493,-0.018044803925745364,0.007799904305612709,17.309565431202465,14.163700952108165,19.07770892167389
Cultivar-aware PLSR,SRF,20,intercept,pooled,500,1156.0,189.6057225904311,3.1285193116793324,184.7705008962088,196.1636700818673,0.1352127154374279,0.029467899333948108,0.06646231402630935,0.17546483501983717,0.3918670314591647,0.3122819382135025,0.4484810537685273,16.737459587232046,13.609288890559903,18.62234623045054
Cultivar-aware PLSR,SRF,20,shrunken_affine,batch_macro,500,1156.0,176.61048959469974,3.3844947910456247,171.01396313884086,183.85682096383013,-0.10274534464805586,0.04578210803053941,-0.20372881280624708,-0.03460391667302428,0.004982477515003272,-0.01838250202851701,0.025260020150535547,21.598825413752447,18.28156562781794,23.95172474138395
Cultivar-aware PLSR,SRF,20,shrunken_affine,pooled,500,1156.0,180.36644506067574,3.669060438114909,174.43557089559306,187.92032267546372,0.21733465985572895,0.03246389763206855,0.1456361529398426,0.2656976145113073,0.42261480885755714,0.343646784024384,0.4768968480061021,20.795850929413238,17.340800990898984,23.248421664835295
Cultivar-aware PLSR,SRF,40,intercept,batch_macro,500,1056.0,183.3724812194627,2.1458838549871793,179.3379371705087,187.57767796161636,-0.20807499145347733,0.024844796183286583,-0.26523514127233705,-0.16734100987385245,-0.00535864021670516,-0.024602916040635317,0.01155163485890339,18.145291632682245,15.753678478878394,19.41140630170298
Cultivar-aware PLSR,SRF,40,intercept,pooled,500,1056.0,187.8428425727592,2.232480279538001,183.99709721365204,192.735957966065,0.15064221326933394,0.019022918113435962,0.10634428846601542,0.18042231039794757,0.39139812279969494,0.332169526331619,0.4325159042876894,17.550699006591454,15.468606080787191,18.795984804852427
Cultivar-aware PLSR,SRF,40,shrunken_affine,batch_macro,500,1056.0,172.7069634878312,2.4456522865472152,168.26148717814192,177.74556313489236,-0.053661352350792633,0.02751532201143414,-0.1267112798261978,-0.010477178484858733,0.010282034994549636,-0.010639805243914722,0.027414090017005385,23.403007823393214,21.017220940549084,25.025795425226512
Cultivar-aware PLSR,SRF,40,shrunken_affine,pooled,500,1056.0,176.3934313030379,2.575435195717638,171.89654230027568,181.84024492738956,0.25098218590974486,0.020768076391780497,0.2002061724720852,0.2833423114319621,0.43142895654473784,0.3775987701397471,0.4703529011271389,22.5768087004864,20.15113694334869,24.199348069122777
Cultivar-aware PLSR,SRF,80,intercept,batch_macro,500,856.0,182.20296614274034,2.8009268357978887,176.73656176289663,187.994019844844,-0.19438450337936475,0.02577129736394756,-0.24504934508357723,-0.14749925504666336,-0.006086503897457921,-0.03290566401930065,0.02411516005272861,18.65467923672161,16.424964993833147,20.28893112759892
Cultivar-aware PLSR,SRF,80,intercept,pooled,500,856.0,187.09693476699078,2.5212164888131054,182.2211514240482,192.05992052845806,0.1552390017788166,0.019079752783969495,0.11401745202326924,0.18639227444489473,0.38956254376093225,0.35288414497903403,0.41873573389030067,17.985821077185378,16.21537737202132,19.371853550888897
Cultivar-aware PLSR,SRF,80,shrunken_affine,batch_macro,500,856.0,170.26601708635005,2.607203557420937,165.46892869641027,175.62518129857494,-0.023546169617570372,0.01740491949361588,-0.06432830551324685,0.003011953552846246,0.01609446644563337,-0.002618206823022271,0.02839511438510429,24.52112350048386,22.164631192907102,26.249492288041946
Cultivar-aware PLSR,SRF,80,shrunken_affine,pooled,500,856.0,174.11584281382403,2.4955354983025217,169.25403672586506,178.7937015507634,0.26840416715311083,0.016877169098092473,0.22895394290441082,0.2956232123794638,0.43690073507961996,0.40741380617347417,0.4609856294180216,23.675865510896077,21.79183429707145,25.23435891116688
