target,trait,model,cultivar_ascii,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
ph,pH,plumspectra_fixed_gate_sensitivity,Weiwang,478,0.4173826147347496,0.34688476912095895,0.004945864685713712,-0.035891887323028726,-0.10459291970120241,-0.023029818649915136,0.9835524914758922,1.5034167160958092,4.320100418410042,0.4105177106210854
ph,pH,plumspectra_fixed_gate_sensitivity,Weixin,191,0.3895558778730546,0.3300165975785494,0.0003788158112010032,-0.0024425854523466572,0.059802303764344984,0.016126646466935273,1.0014058616466839,1.6300614008625702,4.778848167539267,0.3901035395409966
ph,pH,plumspectra_fixed_gate_sensitivity,Zaoshu Konglongdan,264,0.22579352496374955,0.18169542649363746,0.0003128205990785122,0.007927589273109437,0.12298405964832473,0.048998725043000596,1.005894429506756,1.3286474891083078,5.147310606060605,0.22712444897973033
post_break_work_g_rawpos_mean,PRW,global_pls,3.13,300,573.131421256924,517.3540201327748,511.57873157988206,-13.511710920136657,0.3106962662853381,0.06938305852483403,0.2629454886109998,0.32954240992649814,272.73540617598485,150.70232160071865
post_break_work_g_rawpos_mean,PRW,global_pls,A181,310,461.5993429169979,393.0967955680404,295.79511223425686,-2.242025443158976,0.03681632936916664,0.02203072972718354,0.5562799382695564,0.7245794322487965,766.4432036982179,256.77845398313536
post_break_work_g_rawpos_mean,PRW,global_pls,Cuihongli,295,450.48019344518275,377.2478438689761,220.02713694339474,-1.840199645638139,-0.18166329170551243,-0.13203961380453041,0.594378249131244,0.8503469106419358,865.158839592667,267.75562864825184
post_break_work_g_rawpos_mean,PRW,global_pls,Fengtangli,183,423.6917017508205,354.0184886952167,-12.863621620683137,0.06577712519871415,0.3462447466887739,0.2995717219240916,1.037443854485598,1.7717849071825476,697.7566333188962,439.5563521779336
post_break_work_g_rawpos_mean,PRW,global_pls,Fengwei Huanghou,86,576.9556444967518,459.7414514187012,-400.71050775417336,-0.6284471242080976,0.39882615433979585,0.17849048933668224,0.7882299490217786,0.8899065850020405,1484.5804083633604,454.77371824950205
post_break_work_g_rawpos_mean,PRW,global_pls,Furongli,278,862.5359683854064,689.3455284748412,-582.5973851855157,-0.4713040886684323,0.4661459441227944,0.17486410850169778,0.825907276692888,1.0319528473196626,1896.542678753129,712.3747326988539
post_break_work_g_rawpos_mean,PRW,global_pls,Konglongdan,778,617.0331753326901,459.47682155165313,-203.60610347949222,-0.05917146785361238,0.25687391315519076,0.14725491361799803,0.9722907465460173,1.2735155764469412,1367.145429223426,599.9356466878809
