target,trait,candidate,baseline,candidate_rmse,baseline_rmse,rmse_delta_baseline_minus_candidate,rmse_delta_ci_low,rmse_delta_ci_high,relative_rmse_improvement_pct,relative_improvement_ci_low,relative_improvement_ci_high,bootstrap_probability_candidate_better,cluster_bootstrap_iterations,clusters,claim_status
skin_break_displacement_raw_mean,RD,plumspectra_corrected,cultivar_mean_null,0.49707189113567396,0.5556373450183286,0.05856545388265466,0.006340301741379978,0.1079568501936316,10.540229955335844,1.429418465625726,16.178123916083894,0.99158,200000,15,supported_outperformance
skin_break_displacement_raw_mean,RD,plumspectra_corrected,no_neural_b50,0.49707189113567396,0.5076853989605505,0.010613507824876578,0.00562179096062526,0.015655201731610228,2.090567868724802,1.0953454762288302,3.3854018351811135,0.99998,200000,15,supported_outperformance
skin_break_displacement_raw_mean,RD,residual_cnn,nested_rbf_svr,0.4997854048620123,0.5084181160238913,0.008632711161879025,0.0010949154422140867,0.015333054990698064,1.697955066863388,0.21060171995802018,3.290669476549953,0.98596,200000,15,supported_outperformance
skin_break_displacement_raw_mean,RD,plumspectra_corrected,residual_cnn,0.49707189113567396,0.4997854048620123,0.0027135137263383236,-0.0009537895241373953,0.006503857864643724,0.542935768019781,-0.21126600143149876,1.2467557740474982,0.92504,200000,15,statistical_parity
skin_break_displacement_raw_mean,RD,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,0.49886201958581594,0.49707189113567396,-0.0017901284501419812,-0.0032491751495051777,-0.00025926971935267,-0.3601347173448177,-0.7145361414844459,-0.05253715898568937,0.0109,200000,15,supported_inferiority
skin_break_drop_g_mean,PFD,plumspectra_corrected,cultivar_mean_null,158.6578469929512,161.8481493066261,3.19030231367492,0.3006249438180369,5.973572962769837,1.9711700920538755,0.18579413069520742,3.6226070257719036,0.98584,200000,15,supported_outperformance
skin_break_drop_g_mean,PFD,plumspectra_corrected,no_neural_b50,158.6578469929512,161.1190285278489,2.461181534897719,1.4933686471766996,3.463734264670267,1.5275548502157954,0.9154746426458105,2.2899924004041496,1.0,200000,15,supported_outperformance
skin_break_drop_g_mean,PFD,residual_cnn,nested_rbf_svr,158.98456345629523,160.21390679851254,1.2293433422173052,-2.3068722773520682,5.316014184668811,0.7673137537076213,-1.4859889759106553,3.135074344827076,0.67837,200000,15,statistical_parity
skin_break_drop_g_mean,PFD,plumspectra_corrected,residual_cnn,158.6578469929512,158.98456345629523,0.3267164633440416,-1.6649197590992926,2.0816435735073586,0.2055020036167532,-1.0094295808844238,1.3488447334502325,0.666905,200000,15,statistical_parity
skin_break_drop_g_mean,PFD,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,158.54654113167712,158.6578469929512,0.11130586127407582,-0.04569559382126798,0.2888620841986622,0.07015465253289443,-0.027954790044183997,0.1896546535061136,0.900765,200000,15,statistical_parity
skin_break_force_g_mean,SRF,plumspectra_corrected,cultivar_mean_null,163.48841317306588,168.11516191980152,4.626748746735643,1.2849561547514328,7.638771015443384,2.7521305597307255,0.7921449205357418,4.538991552443474,0.997845,200000,15,supported_outperformance
skin_break_force_g_mean,SRF,plumspectra_corrected,no_neural_b50,163.48841317306588,167.82243549072888,4.334022317662999,3.014774944134591,6.170880074784429,2.582504719938017,1.7326763415902178,3.687227396351655,1.0,200000,15,supported_outperformance
skin_break_force_g_mean,SRF,residual_cnn,nested_rbf_svr,163.83796319831396,166.22358729060173,2.3856240922877703,-1.76986642191969,7.9284883669046495,1.4351898735749713,-1.1698485257733338,4.477200130480412,0.75457,200000,15,statistical_parity
skin_break_force_g_mean,SRF,plumspectra_corrected,residual_cnn,163.48841317306588,163.83796319831396,0.3495500252480781,-2.322923595672399,2.4287996444993403,0.21335105638793372,-1.353882176008473,1.635202554890219,0.65387,200000,15,statistical_parity
skin_break_force_g_mean,SRF,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,163.85714869885982,163.48841317306588,-0.3687355257939373,-0.673373483830823,-0.1214276713829705,-0.22554229907632006,-0.4125628871199777,-0.073900447104161,0.000295,200000,15,supported_inferiority
soluble_solids_pct,SSC,plumspectra_corrected,cultivar_mean_null,1.5761790361608938,2.0007912191945993,0.4246121830337055,0.1943969708462457,0.6043076832363182,21.222213440372318,11.586600561760108,27.05752263671349,0.99972,200000,15,supported_outperformance
soluble_solids_pct,SSC,plumspectra_corrected,no_neural_b50,1.5761790361608938,1.5934876479789826,0.017308611818088737,0.010199999552048455,0.024027243947225913,1.0862093496640024,0.5934088085289339,1.681008946073652,1.0,200000,15,supported_outperformance
soluble_solids_pct,SSC,residual_cnn,nested_rbf_svr,1.5900289238556782,1.6224628246263793,0.032433900770701074,-0.021624159848279915,0.07572392275486697,1.9990535547814492,-1.4407412309957257,4.5371880386353345,0.88212,200000,15,statistical_parity
soluble_solids_pct,SSC,plumspectra_corrected,residual_cnn,1.5761790361608938,1.5900289238556782,0.013849887694784346,-0.004635521008677912,0.038520428839687385,0.8710462738752978,-0.28167913091162566,2.6204882553161424,0.923535,200000,15,statistical_parity
soluble_solids_pct,SSC,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,1.5761790361608938,1.5761790361608938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,15,statistical_parity
