sample_id,cultivar_code,trait,value
ZSKLD_B01-0138,ZSKLD,AF,63.31515444506759
ZSKLD_B01-0140,ZSKLD,AF,51.57359321361858
ZSKLD_B01-0143,ZSKLD,AF,62.150041962791114
ZSKLD_B01-0151,ZSKLD,AF,61.39620689829768
ZSKLD_B01-0157,ZSKLD,AF,72.21808340130096
ZSKLD_B01-0166,ZSKLD,AF,89.71693350533943
ZSKLD_B01-0175,ZSKLD,AF,69.86108449996648
ZSKLD_B01-0178,ZSKLD,AF,48.534453900727875
ZSKLD_B01-0192,ZSKLD,AF,78.54729331236264
ZSKLD_B01-0194,ZSKLD,AF,53.38886612740666
ZSKLD_B01-0200,ZSKLD,AF,73.58712403539678
ZSKLD_B01-0208,ZSKLD,AF,49.59618923820898
ZSKLD_B01-0218,ZSKLD,AF,63.79321796071123
ZSKLD_B01-0219,ZSKLD,AF,55.80432145738082
ZSKLD_B01-0220,ZSKLD,AF,65.607003433567
ZSKLD_B01-0228,ZSKLD,AF,52.65838388555044
ZSKLD_B01-0234,ZSKLD,AF,85.555073776743
ZSKLD_B01-0235,ZSKLD,AF,60.254298494565205
ZSKLD_B01-0238,ZSKLD,AF,66.2015335742103
ZSKLD_B01-0240,ZSKLD,AF,63.88023325525121
ZSKLD_B01-0247,ZSKLD,AF,53.05121703577285
ZSKLD_B01-0263,ZSKLD,AF,46.716503593261635
ZSKLD_B01-0269,ZSKLD,AF,75.0567156765166
ZSKLD_B01-0276,ZSKLD,AF,50.2362350713809
ZSKLD_B01-0277,ZSKLD,AF,60.43056024504364
ZSKLD_B01-0287,ZSKLD,AF,67.37914056031818
ZSKLD_B01-0289,ZSKLD,AF,53.344837875810356
ZSKLD_B01-0290,ZSKLD,AF,39.70381457380465
ZSKLD_B01-0295,ZSKLD,AF,62.27483825701172
KLD_B01-0001,KLD,AF,260.1480642732271
KLD_B01-0006,KLD,AF,129.3753811307087
KLD_B01-0010,KLD,AF,120.45475162738086
KLD_B01-0019,KLD,AF,253.2551142488208
KLD_B01-0027,KLD,AF,174.87158818310522
KLD_B01-0033,KLD,AF,138.07676184061438
KLD_B01-0040,KLD,AF,120.63235207469837
KLD_B01-0047,KLD,AF,131.28763519328322
KLD_B01-0051,KLD,AF,85.81894579813437
KLD_B01-0054,KLD,AF,117.65732146599012
KLD_B01-0059,KLD,AF,107.96575132744732
KLD_B01-0060,KLD,AF,125.32582319250149
KLD_B01-0061,KLD,AF,155.35889180081563
KLD_B01-0067,KLD,AF,210.73200413192052
KLD_B01-0071,KLD,AF,153.5360329382728
KLD_B01-0078,KLD,AF,198.51282561710755
KLD_B01-0087,KLD,AF,120.11933369714552
KLD_B01-0093,KLD,AF,93.22357550325437
KLD_B01-0094,KLD,AF,81.53898325951273
KLD_B01-0112,KLD,AF,123.57108912465833
KLD_B01-0113,KLD,AF,105.80821825513529
KLD_B01-0116,KLD,AF,141.93518361902005
KLD_B01-0118,KLD,AF,134.26207082561854
KLD_B01-0121,KLD,AF,185.10533054147413
KLD_B01-0123,KLD,AF,144.09688152594256
KLD_B01-0131,KLD,AF,99.76028342437294
KLD_B01-0136,KLD,AF,184.27355357212775
KLD_B01-0140,KLD,AF,105.46625558479778
KLD_B01-0144,KLD,AF,102.79615036721256
KLD_B01-0152,KLD,AF,138.79534455501215
KLD_B01-0155,KLD,AF,211.13420816001647
KLD_B01-0160,KLD,AF,140.22224664137474
KLD_B01-0161,KLD,AF,204.36620317392408
KLD_B01-0170,KLD,AF,123.70019899758262
KLD_B01-0176,KLD,AF,139.08033823764225
KLD_B01-0177,KLD,AF,188.72531553843092
KLD_B01-0190,KLD,AF,161.83476338780284
KLD_B01-0199,KLD,AF,98.2392263269953
KLD_B01-0210,KLD,AF,67.20213508937357
KLD_B01-0211,KLD,AF,104.12636879297517
KLD_B01-0213,KLD,AF,85.2397362990938
KLD_B01-0225,KLD,AF,182.02216297698715
KLD_B01-0233,KLD,AF,70.32144746851566
KLD_B01-0244,KLD,AF,193.47382197072943
KLD_B01-0245,KLD,AF,126.93493679307176
KLD_B01-0250,KLD,AF,105.50344160810548
KLD_B01-0270,KLD,AF,111.55479755301211
KLD_B01-0272,KLD,AF,142.55217411774123
KLD_B01-0277,KLD,AF,45.95225644224203
KLD_B02-0005,KLD,AF,95.80874784360482
KLD_B02-0010,KLD,AF,86.88112736789515
KLD_B02-0013,KLD,AF,68.06708199151038
KLD_B02-0020,KLD,AF,167.62908953960675
KLD_B02-0021,KLD,AF,130.59835506525192
KLD_B02-0022,KLD,AF,74.08095442492288
KLD_B02-0023,KLD,AF,76.21677085962322
KLD_B02-0033,KLD,AF,159.25985438988533
KLD_B02-0042,KLD,AF,77.23953524467788
KLD_B02-0044,KLD,AF,76.73663146546471
KLD_B02-0055,KLD,AF,161.78761151024872
KLD_B02-0057,KLD,AF,95.73035970647221
KLD_B02-0059,KLD,AF,160.6470418033553
KLD_B02-0062,KLD,AF,55.20577522622028
KLD_B02-0063,KLD,AF,93.41084431663188
KLD_B02-0068,KLD,AF,66.87742673385084
KLD_B02-0081,KLD,AF,77.6692569300215
KLD_B02-0086,KLD,AF,118.86437978255768
KLD_B02-0107,KLD,AF,116.45041189351582
KLD_B02-0111,KLD,AF,99.85949573455787
KLD_B02-0115,KLD,AF,70.30984542924365
KLD_B02-0127,KLD,AF,60.068963354399685
KLD_B02-0129,KLD,AF,112.45529429343108
KLD_B02-0131,KLD,AF,63.922476577728744
KLD_B02-0133,KLD,AF,83.94908380213059
KLD_B02-0134,KLD,AF,60.3041277657975
KLD_B02-0139,KLD,AF,73.85724330870383
KLD_B02-0142,KLD,AF,76.40701455486536
KLD_B02-0152,KLD,AF,68.14279273496484
KLD_B02-0161,KLD,AF,80.04053526430614
KLD_B02-0168,KLD,AF,66.32930475029553
KLD_B02-0169,KLD,AF,73.1944396292676
KLD_B02-0187,KLD,AF,64.5854290012582
KLD_B02-0191,KLD,AF,71.04449250571032
KLD_B02-0226,KLD,AF,65.27411415291658
