sample_id,cultivar_code,PC1,PC2
313_A110_B01-0349,L313,-3.362455434189673,-1.9318500146450435
313_A110_B01-0350,L313,-5.1096190368872465,-1.6212779387066816
A181_B01-0001,LA191,-1.0961903467680838,0.4934918423760708
A181_B01-0002,LA191,-0.36934768648250405,0.8820683182759804
A181_B01-0003,LA191,-0.325484994102157,-0.9890158871895081
A181_B01-0004,LA191,-0.671257615332116,-0.5429213778464447
A181_B01-0005,LA191,0.7839759517251563,-0.004670496217752965
A181_B01-0006,LA191,-2.2134542639544277,-0.8587290032671241
A181_B01-0007,LA191,1.4489762936535744,-0.18926754930556594
A181_B01-0008,LA191,-0.5070524407506183,-0.6107784009547058
A181_B01-0010,LA191,-0.8117550442886103,-0.5912043356971776
A181_B01-0011,LA191,0.20912921409103924,0.012216529617636408
A181_B01-0012,LA191,-0.8094321718546439,-0.10025610762246419
A181_B01-0013,LA191,-1.3816576355422079,-0.32494919397615024
A181_B01-0014,LA191,-1.6778155190187058,-0.7305946951750155
A181_B01-0015,LA191,-0.41914080376927426,-0.05746788226625272
A181_B01-0016,LA191,-1.1930686043251262,0.14500509839956258
A181_B01-0018,LA191,-0.3638090130787385,-0.042711800339920114
A181_B01-0019,LA191,0.10682848256379314,0.24289153714458894
A181_B01-0020,LA191,0.5119921012574477,-0.1777231332896239
A181_B01-0021,LA191,-2.364342146726846,-0.14054395764721883
A181_B01-0022,LA191,-0.4651040903322942,-0.8376722272311398
A181_B01-0023,LA191,-1.8706525448377358,-0.4659479645150548
A181_B01-0024,LA191,-0.1256714631594271,0.22021074848231303
A181_B01-0025,LA191,-0.6244255014106341,-0.60929046236631
A181_B01-0026,LA191,-0.6104945834366862,-0.4779008290092421
A181_B01-0027,LA191,-0.7968764850716203,0.3670986293829024
A181_B01-0028,LA191,-1.1891226929717733,-0.20170540826753985
A181_B01-0029,LA191,-0.9239234253226575,-0.5974688015491055
A181_B01-0031,LA191,-1.076365105300624,-0.2487305693156973
A181_B01-0032,LA191,-0.7369508170465643,0.6153551311592292
A181_B01-0033,LA191,1.1797093047921534,0.27089962293710174
A181_B01-0034,LA191,-0.792209933398311,0.13747845163446512
A181_B01-0035,LA191,-0.4163464818817646,-0.1870846680139575
A181_B01-0036,LA191,-2.580937907239699,-0.4150340035757063
A181_B01-0037,LA191,-1.9320664599866557,-0.11262153628913539
A181_B01-0038,LA191,-2.0547067088150714,0.03880890380832917
A181_B01-0039,LA191,-1.4416640932778688,-0.9881029197303173
A181_B01-0040,LA191,-0.845279251602997,0.5206945671839918
